Content,English,,Español,,
S1 - Result - Streamlined Enrolled - Alert Action,"To check the mailing address we have on file, log in to the DC SUN Bucks Portal","To check the mailing address we have on file, log in to the Summer EBT Portal","Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de DC SUN Bucks.","Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de Summer EBT.",
S1 - Result - Streamlined Enrolled - Body 2,We recommend logging into the DC SUN Bucks portal to confirm,We recommend logging into the Summer EBT portal to confirm,Recomendamos iniciar sesión en el portal de DC SUN Bucks para confirmar,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar,
S1 - Result - Streamlined Enrolled - Body 3,Scroll down to view information we found about your other children.,Scroll down to view information we found about your other children.,Desliza hacia abajo para ver la información que encontramos sobre tus otros hijos.,Desliza hacia abajo para ver la información que encontramos sobre tus otros hijos.,
S1 - Result - Streamlined Enrolled - Action,Go to the DC SUN Bucks Portal,Go to the Summer EBT Portal,Ve al Portal DC SUN Bucks,Ir al Portal Summer EBT,
S1 - Result - Streamlined Enrolled - Card 1 Title,Enrolled in SNAP or TANF?,Enrolled in SNAP or Colorado Works (TANF)?,¿Está inscrito en el SNAP o TANF?,¿Está inscrito en el SNAP o Colorado Works (TANF)?,
S1 - Result - Streamlined Enrolled - Card 1 Body,"If your student has SNAP or TANF, your DC SUN Bucks will be loaded on the existing SNAP or TANF card on that date.","If your student has SNAP or Colorado Works (TANF), your Summer EBT will be loaded on the existing SNAP or TANF card on that date.","Si tu estudiante tiene SNAP o TANF, sus beneficios de DC SUN Bucks se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.","Si tu estudiante tiene SNAP o Colorado Works (TANF), sus beneficios de Summer EBT se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.",
S1 - Result - Streamlined Enrolled - Card 2 Title,Do you have other children in your household?,Do you have other children in your household?,¿Tiene otros hijos en tu hogar?,¿Tiene otros hijos en su hogar?,
S1 - Result - Streamlined Enrolled - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other school-age children in your household, please provide their information by clicking on the button below.","To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesitas aplicar para DC SUN Bucks para algún otro menor en edad escolar en tu hogar, proporciona su información haciendo clic en el botón a continuación.","Para verificar si necesita presentar una solicitud de Summer EBT para algún otro menor en su hogar que está en edad escolar, proporciona su información haciendo clic en el botón a continuación.",
S1 - Result - Streamlined Enrolled - Card 2 Action,Check another child,Check another child,No tenemos suficiente información para los siguientes niños,Revisar otro(a) niño(a),
S1 - Result - Streamlined Enrolled - Steps Heading,Next steps,Next steps,próximos pasos  ,próximos pasos  ,
S1 - Result - None - Body 1,We don't have enough information for the following children.,We don't have enough information for the following children.,No tenemos suficiente información para los siguientes niños,No tenemos suficiente información para los siguientes niños,
S1 - Result - None - Body 2,We recommend logging into the DC Sun Bucks portal to confirm if they are automatically enrolled.,We recommend logging into the Summer EBT portal to confirm if they are automatically enrolled.,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar si están automaticamente inscritos.,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar si están automaticamente inscritos.,
S2 - Log In Disclaimer - Title,Log in to your DC SUN Bucks account,Log in to your Summer EBT account,Inicia sesión en tu cuenta de DC SUN Bucks,Inicia sesión en tu cuenta de Summer EBT,
S2 - Log In Disclaimer - Log In Disclaimer - Body 1,"You can use the same login you use to access the OSSE Parent Portal. Also, if you don't have an account, you can create one using your email address.","You can use the same login you use to access PEAK. Also, if you don't have an account, you can create one using your email address.","Puedes usar el mismo inicio de sesión que utilizas para acceder al Portal de Padres de OSSE. Si no tienes una cuenta, puede crear una. ","Puedes usar el mismo inicio de sesión que utilizas para acceder al portal de PEAK. Si no tienes una cuenta, puedes crear una. ",
S2 - Log In Disclaimer - Log In Disclaimer - Body 2,Contact us if you need assistance logging into your account.,Contact us if you need assistance logging into your account.,Contáctanos si necesitas ayuda para iniciar sesión en su cuenta ,Contáctanos si necesitas  ayuda para iniciar sesión en su cuenta. ,
S2 - Log In Disclaimer - Log In Disclaimer - Body 3,DC SUN Bucks Call Center.,Summer EBT Call Center.,línea de servicio al cliente de DC SUN Bucks.,línea de servicio al cliente de Summer EBT.,
S2 - Portal Dashboard - Alert Address Updated,Your mailing address has been updated,Your mailing address has been updated,Tu dirección ha sido actualizada,Tu dirección ha sido actualizada,
